,Latitude,Longitude,Altitude (m), Vl (km/h)
126,45.96110081,-66.62690543,-20.542,0.024
127,45.96110081,-66.62690538,-20.541,0.02
128,45.96110081,-66.62690542,-20.54,0.018
129,45.96110081,-66.62690549,-20.54,0.017
130,45.9611008,-66.62690557,-20.541,0.017
131,45.96110083,-66.6269057,-20.541,0.023
132,45.96110085,-66.62690581,-20.541,0.029
133,45.96110084,-66.62690582,-20.541,0.029
134,45.96110083,-66.62690577,-20.539,0.025
135,45.96110082,-66.62690572,-20.539,0.022
136,45.96110082,-66.62690567,-20.54,0.019
137,45.96110084,-66.62690567,-20.54,0.016
138,45.96110084,-66.62690566,-20.542,0.013
139,45.96110085,-66.62690565,-20.544,0.01
140,45.96110085,-66.62690564,-20.545,0.008
141,45.96110082,-66.62690566,-20.545,0.003
142,45.96110077,-66.62690568,-20.545,-0.003
143,45.96110075,-66.62690566,-20.545,-0.007
144,45.96110072,-66.62690561,-20.545,-0.012
145,45.96110068,-66.62690554,-20.544,-0.016
146,45.96110067,-66.6269055,-20.543,-0.017
147,45.96110068,-66.62690546,-20.542,-0.016
148,45.9611007,-66.62690541,-20.542,-0.014
149,45.96110071,-66.62690538,-20.541,-0.012
150,45.96110074,-66.62690539,-20.54,-0.009
151,45.96110073,-66.62690541,-20.54,-0.012
152,45.9611007,-66.62690545,-20.539,-0.017
153,45.96110069,-66.62690549,-20.538,-0.018
154,45.96110068,-66.62690552,-20.538,-0.02
155,45.96110067,-66.62690554,-20.539,-0.019
156,45.96110066,-66.62690557,-20.541,-0.018
157,45.96110068,-66.62690558,-20.543,-0.013
158,45.96110071,-66.62690561,-20.545,-0.003
159,45.96110079,-66.62690563,-20.548,0.013
160,45.96110086,-66.62690567,-20.549,0.027
161,45.96110092,-66.62690567,-20.552,0.032
162,45.96110094,-66.62690566,-20.554,0.033
163,45.96110096,-66.62690565,-20.556,0.033
164,45.96110094,-66.62690564,-20.556,0.029
165,45.9611009,-66.62690561,-20.557,0.021
166,45.96110085,-66.62690559,-20.555,0.011
167,45.96110081,-66.62690559,-20.554,0.005
168,45.96110079,-66.62690561,-20.553,0.006
169,45.96110079,-66.62690562,-20.552,0.01
170,45.96110078,-66.62690563,-20.552,0.014
171,45.96110079,-66.62690562,-20.552,0.018
172,45.96110078,-66.6269056,-20.55,0.02
173,45.9611008,-66.62690556,-20.549,0.026
174,45.96110083,-66.62690554,-20.547,0.031
175,45.96110084,-66.6269055,-20.547,0.033
176,45.96110085,-66.62690547,-20.546,0.034
177,45.96110086,-66.62690546,-20.546,0.037
178,45.96110089,-66.62690547,-20.546,0.042
179,45.9611009,-66.62690549,-20.546,0.042
180,45.96110093,-66.6269055,-20.547,0.042
181,45.96110093,-66.62690552,-20.548,0.039
182,45.96110092,-66.62690555,-20.55,0.033
183,45.96110089,-66.62690557,-20.552,0.024
184,45.96110086,-66.62690559,-20.553,0.016
185,45.96110084,-66.62690559,-20.555,0.008
186,45.96110082,-66.62690559,-20.555,0.003
187,45.96110078,-66.62690557,-20.555,-0.006
188,45.96110074,-66.62690553,-20.554,-0.011
189,45.96110071,-66.62690552,-20.552,-0.014
190,45.96110068,-66.62690551,-20.549,-0.014
191,45.96110066,-66.62690551,-20.548,-0.011
192,45.96110067,-66.62690554,-20.547,-0.005
193,45.96110071,-66.62690558,-20.546,0.004
194,45.96110076,-66.62690561,-20.547,0.013
195,45.9611008,-66.62690562,-20.547,0.018
196,45.96110082,-66.62690562,-20.547,0.019
197,45.96110085,-66.6269056,-20.548,0.02
198,45.96110086,-66.62690557,-20.551,0.02
199,45.96110088,-66.62690555,-20.553,0.019
200,45.9611009,-66.62690553,-20.555,0.018
201,45.9611009,-66.62690551,-20.557,0.016
202,45.96110087,-66.62690551,-20.556,0.013
203,45.96110084,-66.62690551,-20.555,0.009
204,45.9611008,-66.62690552,-20.554,0.007
205,45.96110077,-66.62690556,-20.552,0.006
206,45.96110078,-66.62690561,-20.55,0.011
207,45.96110078,-66.62690563,-20.55,0.014
208,45.96110079,-66.62690565,-20.549,0.018
209,45.96110081,-66.62690567,-20.548,0.022
210,45.96110082,-66.62690565,-20.548,0.024
211,45.96110083,-66.62690564,-20.548,0.027
212,45.96110088,-66.62690566,-20.549,0.035
213,45.96110093,-66.62690569,-20.549,0.043
214,45.96110095,-66.62690571,-20.549,0.044
215,45.96110093,-66.62690572,-20.55,0.038
216,45.9611009,-66.6269057,-20.549,0.03
217,45.96110087,-66.62690567,-20.548,0.027
218,45.96110084,-66.62690562,-20.549,0.014
219,45.96110081,-66.62690559,-20.549,0.01
220,45.96110079,-66.62690559,-20.549,0.006
221,45.96110076,-66.6269056,-20.549,0.002
222,45.96110076,-66.62690563,-20.549,0.002
223,45.96110074,-66.62690565,-20.548,0.002
224,45.96110073,-66.62690564,-20.547,0.003
225,45.96110075,-66.62690559,-20.545,0.005
226,45.96110074,-66.62690556,-20.544,0.007
227,45.96110074,-66.62690555,-20.543,0.011
228,45.96110074,-66.62690557,-20.541,0.018
229,45.96110077,-66.62690559,-20.541,0.029
230,45.96110083,-66.62690562,-20.542,0.042
231,45.96110088,-66.62690565,-20.543,0.051
232,45.96110091,-66.62690566,-20.545,0.055
233,45.96110093,-66.62690567,-20.546,0.055
234,45.96110094,-66.62690569,-20.547,0.054
235,45.96110095,-66.62690568,-20.548,0.051
236,45.96110094,-66.62690568,-20.55,0.046
237,45.96110093,-66.62690568,-20.551,0.044
238,45.96110091,-66.62690569,-20.553,0.043
239,45.96110089,-66.62690567,-20.552,0.038
240,45.96110084,-66.62690562,-20.551,0.031
241,45.96110084,-66.62690559,-20.552,0.031
242,45.96110084,-66.62690558,-20.551,0.031
243,45.96110086,-66.62690559,-20.552,0.033
244,45.96110087,-66.62690562,-20.552,0.031
245,45.96110087,-66.62690564,-20.552,0.029
246,45.96110086,-66.62690566,-20.552,0.025
247,45.96110083,-66.62690567,-20.552,0.019
248,45.9611008,-66.62690569,-20.552,0.009
249,45.96110077,-66.62690572,-20.553,0.002
250,45.96110073,-66.62690573,-20.552,-0.008
251,45.9611007,-66.62690574,-20.552,-0.012
252,45.96110071,-66.62690573,-20.553,-0.011
253,45.96110072,-66.62690571,-20.553,-0.009
254,45.96110071,-66.62690567,-20.554,-0.009
255,45.96110069,-66.62690561,-20.554,-0.01
256,45.96110068,-66.62690558,-20.553,-0.01
257,45.96110068,-66.62690556,-20.553,-0.006
258,45.96110067,-66.62690555,-20.552,-0.0
259,45.96110069,-66.62690556,-20.552,0.005
260,45.9611007,-66.6269056,-20.551,0.007
261,45.96110072,-66.62690562,-20.549,0.009
262,45.96110074,-66.62690564,-20.549,0.011
263,45.96110078,-66.62690568,-20.548,0.016
264,45.9611008,-66.62690571,-20.548,0.018
265,45.96110079,-66.62690572,-20.547,0.015
266,45.96110078,-66.62690571,-20.548,0.01
267,45.96110077,-66.62690571,-20.548,0.01
268,45.9611008,-66.62690572,-20.549,0.015
269,45.96110081,-66.62690575,-20.55,0.018
270,45.96110084,-66.62690579,-20.551,0.023
271,45.96110088,-66.62690583,-20.552,0.031
272,45.96110089,-66.62690584,-20.553,0.035
273,45.96110091,-66.62690583,-20.553,0.037
274,45.9611009,-66.62690582,-20.553,0.034
275,45.96110094,-66.6269058,-20.555,0.032
276,45.96110095,-66.62690575,-20.555,0.028
277,45.96110093,-66.62690575,-20.555,0.02
278,45.96110094,-66.62690579,-20.558,0.017
279,45.96110091,-66.62690571,-20.558,0.008
280,45.96110097,-66.62690573,-20.556,0.009
281,45.96110095,-66.62690585,-20.548,0.007
282,45.96110097,-66.62690581,-20.548,0.005
283,45.961101,-66.62690576,-20.551,0.0
284,45.96110101,-66.6269058,-20.553,-0.002
285,45.96110103,-66.62690576,-20.556,-0.006
286,45.96110106,-66.62690575,-20.558,-0.007
287,45.96110119,-66.62690574,-20.56,-0.002
288,45.96110129,-66.62690572,-20.562,-0.002
289,45.96110144,-66.6269057,-20.565,-0.01
290,45.96110159,-66.62690569,-20.567,0.004
291,45.96110176,-66.62690567,-20.573,-0.027
292,45.96110195,-66.62690574,-20.575,0.002
293,45.9611021,-66.62690576,-20.577,0.001
294,45.96110231,-66.62690577,-20.58,-0.008
295,45.96110248,-66.62690576,-20.583,0.024
296,45.96110263,-66.62690578,-20.585,-0.001
297,45.96110275,-66.62690575,-20.589,-0.009
298,45.96110288,-66.62690571,-20.593,0.015
299,45.96110297,-66.62690564,-20.598,-0.009
300,45.96110304,-66.62690561,-20.607,-0.008
301,45.96110314,-66.62690562,-20.612,-0.005
302,45.96110328,-66.62690567,-20.616,-0.001
303,45.96110338,-66.62690575,-20.62,0.007
304,45.96110348,-66.62690581,-20.622,0.033
305,45.96110357,-66.62690583,-20.625,0.034
306,45.96110365,-66.62690587,-20.631,0.048
307,45.96110371,-66.62690591,-20.637,0.047
308,45.96110375,-66.6269059,-20.644,0.048
309,45.96110377,-66.62690585,-20.648,0.043
310,45.96110381,-66.62690577,-20.649,0.033
311,45.96110386,-66.62690571,-20.653,0.037
312,45.9611039,-66.62690564,-20.659,0.05
313,45.96110395,-66.62690563,-20.662,0.028
314,45.96110396,-66.62690563,-20.665,0.049
315,45.96110397,-66.62690561,-20.67,0.047
316,45.96110399,-66.62690558,-20.672,0.045
317,45.96110399,-66.62690552,-20.674,0.032
318,45.96110399,-66.62690548,-20.676,0.018
319,45.96110391,-66.62690546,-20.675,0.011
320,45.96110376,-66.6269054,-20.674,-0.005
321,45.96110361,-66.62690537,-20.675,-0.001
322,45.96110352,-66.62690537,-20.679,-0.01
323,45.96110346,-66.62690539,-20.682,-0.025
324,45.96110342,-66.62690542,-20.687,-0.01
325,45.9611034,-66.6269055,-20.692,-0.006
326,45.96110339,-66.62690555,-20.697,-0.025
327,45.9611034,-66.62690562,-20.7,-0.014
328,45.96110345,-66.6269057,-20.695,0.017
329,45.9611035,-66.62690571,-20.687,0.023
330,45.96110355,-66.62690552,-20.684,0.022
331,45.9611036,-66.62690547,-20.675,0.018
332,45.9611036,-66.62690535,-20.664,0.018
333,45.96110363,-66.62690531,-20.66,0.022
334,45.96110358,-66.62690531,-20.653,0.016
335,45.9611035,-66.62690539,-20.643,0.005
336,45.96110347,-66.62690547,-20.635,-0.007
337,45.96110353,-66.62690549,-20.632,-0.026
338,45.96110353,-66.62690553,-20.625,-0.006
339,45.96110357,-66.62690559,-20.617,-0.013
340,45.96110361,-66.62690564,-20.61,-0.019
341,45.96110364,-66.62690568,-20.603,-0.019
342,45.96110367,-66.62690572,-20.596,-0.017
343,45.96110374,-66.62690574,-20.592,-0.012
344,45.96110381,-66.62690579,-20.589,-0.036
345,45.96110386,-66.62690582,-20.583,-0.013
346,45.96110389,-66.6269058,-20.584,0.004
347,45.96110391,-66.62690583,-20.578,0.006
348,45.96110393,-66.62690585,-20.575,0.005
349,45.96110395,-66.62690589,-20.575,0.025
350,45.961104,-66.62690593,-20.575,0.026
351,45.9611041,-66.62690595,-20.578,0.031
352,45.96110415,-66.62690597,-20.579,0.026
353,45.96110416,-66.62690596,-20.578,0.057
354,45.96110419,-66.62690592,-20.576,0.06
355,45.96110416,-66.6269059,-20.576,0.052
356,45.96110418,-66.62690587,-20.573,0.056
357,45.96110419,-66.62690587,-20.577,0.097
358,45.96110421,-66.62690579,-20.577,0.045
359,45.96110422,-66.62690573,-20.575,0.13
360,45.96110416,-66.62690566,-20.573,0.065
361,45.96110406,-66.62690559,-20.571,0.074
362,45.96110402,-66.62690553,-20.572,0.034
363,45.96110399,-66.62690544,-20.577,0.035
364,45.96110394,-66.62690539,-20.583,0.038
365,45.96110393,-66.62690536,-20.589,0.04
366,45.96110388,-66.62690537,-20.595,0.026
367,45.96110381,-66.62690534,-20.602,0.037
368,45.96110377,-66.62690529,-20.611,0.031
369,45.96110368,-66.62690527,-20.62,0.022
370,45.96110362,-66.62690524,-20.631,0.021
371,45.9611036,-66.62690524,-20.639,0.012
372,45.96110356,-66.62690525,-20.647,0.027
373,45.96110348,-66.62690523,-20.656,0.013
374,45.96110342,-66.62690519,-20.664,0.01
375,45.96110333,-66.62690515,-20.671,-0.003
376,45.96110322,-66.62690512,-20.679,-0.009
377,45.96110312,-66.62690508,-20.687,-0.016
378,45.96110304,-66.62690507,-20.698,-0.015
379,45.96110299,-66.62690507,-20.712,-0.014
380,45.96110296,-66.62690508,-20.726,-0.008
381,45.96110293,-66.62690506,-20.74,-0.0
382,45.96110291,-66.62690505,-20.752,0.012
383,45.9611029,-66.62690501,-20.765,0.022
384,45.96110284,-66.62690496,-20.777,0.027
385,45.9611028,-66.62690488,-20.788,0.029
386,45.96110272,-66.62690483,-20.798,0.028
387,45.96110263,-66.62690476,-20.81,0.025
388,45.96110256,-66.6269047,-20.823,0.026
389,45.96110254,-66.62690468,-20.836,0.03
390,45.96110249,-66.62690467,-20.846,0.032
391,45.9611025,-66.62690461,-20.856,0.038
392,45.96110252,-66.62690458,-20.858,0.041
393,45.96110254,-66.62690457,-20.852,0.045
394,45.96110255,-66.62690462,-20.851,0.052
395,45.96110256,-66.62690467,-20.842,0.04
396,45.96110257,-66.62690463,-20.842,0.049
397,45.96110254,-66.62690461,-20.84,0.048
398,45.96110252,-66.62690453,-20.842,0.039
399,45.9611025,-66.62690449,-20.84,0.036
400,45.9611025,-66.62690442,-20.841,0.035
401,45.96110244,-66.62690433,-20.841,0.027
402,45.96110246,-66.62690427,-20.845,0.026
403,45.96110246,-66.62690417,-20.848,0.024
404,45.96110249,-66.62690407,-20.854,0.025
405,45.96110255,-66.62690399,-20.864,0.032
406,45.96110261,-66.62690392,-20.871,0.039
407,45.96110265,-66.6269039,-20.873,0.044
408,45.96110269,-66.62690383,-20.879,0.047
409,45.96110271,-66.62690377,-20.888,0.046
410,45.96110273,-66.62690371,-20.898,0.048
411,45.96110276,-66.62690364,-20.904,0.049
412,45.96110277,-66.62690356,-20.914,0.049
413,45.96110278,-66.62690346,-20.924,0.049
414,45.96110281,-66.62690336,-20.931,0.048
415,45.96110285,-66.62690324,-20.94,0.049
416,45.96110291,-66.62690316,-20.951,0.053
417,45.96110296,-66.62690308,-20.963,0.054
418,45.96110304,-66.62690305,-20.976,0.058
419,45.96110314,-66.62690303,-20.993,0.066
420,45.96110323,-66.626903,-21.004,0.071
421,45.96110324,-66.62690296,-21.013,0.068
422,45.96110327,-66.62690295,-21.018,0.066
423,45.96110328,-66.62690293,-21.026,0.062
424,45.96110328,-66.62690291,-21.035,0.059
425,45.9611033,-66.62690291,-21.042,0.058
426,45.96110334,-66.62690287,-21.049,0.057
427,45.9611034,-66.62690287,-21.056,0.06
428,45.96110345,-66.6269029,-21.065,0.061
429,45.9611035,-66.6269029,-21.072,0.061
430,45.96110356,-66.62690289,-21.082,0.06
431,45.96110361,-66.62690288,-21.087,0.058
432,45.96110362,-66.62690288,-21.089,0.047
433,45.96110361,-66.62690286,-21.09,0.045
434,45.96110356,-66.62690284,-21.089,0.03
435,45.96110354,-66.62690275,-21.092,0.023
436,45.96110354,-66.6269027,-21.092,0.015
437,45.96110355,-66.62690269,-21.092,0.017
438,45.96110356,-66.62690269,-21.091,0.014
439,45.9611036,-66.6269027,-21.091,0.009
440,45.96110361,-66.62690271,-21.09,0.01
441,45.96110362,-66.62690269,-21.089,0.004
442,45.96110363,-66.62690266,-21.086,0.01
443,45.96110368,-66.62690264,-21.082,0.016
444,45.96110373,-66.62690262,-21.08,0.004
445,45.96110377,-66.62690263,-21.08,0.004
446,45.96110381,-66.62690262,-21.077,0.005
447,45.96110383,-66.62690264,-21.073,0.004
448,45.96110383,-66.62690266,-21.069,-0.0
449,45.96110387,-66.62690265,-21.066,-0.0
450,45.96110388,-66.62690266,-21.06,-0.003
451,45.96110383,-66.62690272,-21.055,-0.008
452,45.96110376,-66.62690276,-21.05,-0.014
453,45.96110371,-66.62690283,-21.047,-0.014
454,45.96110365,-66.62690292,-21.044,0.001
455,45.96110361,-66.62690302,-21.042,-0.017
456,45.96110358,-66.62690306,-21.04,-0.009
457,45.96110354,-66.62690305,-21.039,-0.008
458,45.96110351,-66.62690306,-21.039,-0.002
459,45.9611035,-66.62690308,-21.038,0.004
460,45.96110349,-66.62690312,-21.038,0.014
461,45.96110347,-66.62690314,-21.035,0.023
462,45.96110347,-66.62690315,-21.032,0.031
463,45.96110348,-66.62690316,-21.03,0.037
464,45.96110347,-66.62690319,-21.029,0.041
465,45.96110347,-66.62690325,-21.028,0.045
466,45.96110347,-66.62690328,-21.027,0.049
467,45.96110348,-66.62690331,-21.026,0.052
468,45.96110344,-66.62690331,-21.022,0.049
469,45.96110339,-66.62690333,-21.018,0.043
470,45.96110334,-66.62690336,-21.015,0.037
471,45.96110327,-66.62690342,-21.01,0.031
472,45.96110322,-66.62690341,-21.006,0.028
473,45.96110317,-66.62690338,-21.002,0.023
474,45.96110312,-66.6269033,-20.998,0.019
475,45.96110307,-66.62690325,-20.994,0.016
476,45.96110306,-66.6269032,-20.99,0.018
477,45.96110306,-66.62690318,-20.985,0.023
478,45.96110308,-66.62690316,-20.98,0.029
479,45.96110311,-66.62690319,-20.976,0.037
480,45.96110312,-66.62690323,-20.973,0.04
481,45.96110313,-66.62690328,-20.968,0.043
482,45.96110316,-66.62690336,-20.962,0.048
483,45.96110315,-66.62690343,-20.956,0.048
484,45.96110311,-66.62690348,-20.949,0.043
485,45.96110306,-66.62690356,-20.941,0.039
486,45.96110299,-66.62690357,-20.935,0.033
487,45.96110296,-66.62690359,-20.933,0.028
488,45.96110294,-66.62690365,-20.926,0.029
489,45.96110294,-66.62690367,-20.918,0.031
490,45.96110292,-66.62690368,-20.91,0.036
491,45.96110291,-66.62690369,-20.901,0.041
492,45.96110291,-66.62690368,-20.892,0.045
493,45.96110288,-66.62690367,-20.883,0.047
494,45.96110287,-66.62690365,-20.874,0.049
495,45.96110289,-66.62690362,-20.867,0.052
496,45.96110289,-66.62690362,-20.86,0.054
497,45.96110292,-66.62690362,-20.852,0.057
498,45.96110289,-66.6269036,-20.845,0.057
499,45.96110286,-66.62690356,-20.837,0.058
500,45.96110284,-66.62690352,-20.828,0.058
501,45.96110278,-66.62690349,-20.818,0.049
502,45.96110275,-66.62690344,-20.809,0.049
503,45.9611027,-66.6269034,-20.799,0.044
504,45.96110267,-66.62690339,-20.79,0.042
505,45.96110267,-66.62690338,-20.781,0.044
506,45.96110267,-66.62690338,-20.772,0.047
507,45.96110268,-66.6269034,-20.761,0.049
508,45.96110267,-66.62690342,-20.75,0.045
509,45.96110267,-66.62690344,-20.739,0.044
510,45.96110175,-66.62690461,-20.66,0.006
511,45.96110106,-66.62690547,-20.596,-0.026
512,45.96110073,-66.62690588,-20.559,-0.028
513,45.96110062,-66.62690601,-20.536,-0.023
514,45.96110062,-66.62690599,-20.52,-0.01
515,45.9611007,-66.6269059,-20.509,0.003
516,45.96110078,-66.62690577,-20.5,0.018
517,45.96110086,-66.62690566,-20.496,0.033
518,45.96110095,-66.62690558,-20.494,0.045
519,45.96110103,-66.62690554,-20.495,0.056
520,45.96110111,-66.62690553,-20.497,0.066
521,45.96110119,-66.62690554,-20.501,0.075
522,45.96110122,-66.62690555,-20.506,0.078
523,45.96110124,-66.62690557,-20.509,0.08
524,45.9611013,-66.62690561,-20.503,0.085
525,45.96110134,-66.62690567,-20.495,0.092
526,45.96110136,-66.62690577,-20.486,0.096
527,45.96110137,-66.62690585,-20.477,0.098
528,45.96110135,-66.62690592,-20.467,0.095
529,45.96110128,-66.62690602,-20.453,0.087
530,45.96110119,-66.62690604,-20.441,0.077
531,45.9611011,-66.62690606,-20.434,0.067
532,45.96110098,-66.62690602,-20.431,0.057
533,45.96110085,-66.62690594,-20.422,0.045
534,45.96110078,-66.62690587,-20.409,0.038
535,45.9611007,-66.6269058,-20.401,0.032
536,45.96110065,-66.62690579,-20.393,0.03
537,45.96110062,-66.62690576,-20.386,0.031
538,45.96110058,-66.62690583,-20.379,0.033
539,45.96110053,-66.62690591,-20.361,0.038
540,45.96110046,-66.62690606,-20.346,0.043
541,45.96110036,-66.6269062,-20.32,0.046
542,45.96110021,-66.62690635,-20.293,0.042
543,45.96110006,-66.62690649,-20.264,0.038
544,45.96109994,-66.62690661,-20.237,0.035
545,45.9610998,-66.6269067,-20.206,0.029
546,45.96109967,-66.62690675,-20.173,0.024
547,45.96109955,-66.6269068,-20.14,0.021
548,45.96109944,-66.62690685,-20.105,0.018
549,45.96109932,-66.62690689,-20.075,0.014
550,45.96109919,-66.62690688,-20.045,0.008
551,45.96109911,-66.62690689,-20.011,0.005
552,45.96109902,-66.6269069,-19.984,0.003
553,45.96109887,-66.62690695,-19.954,-0.002
554,45.96109875,-66.626907,-19.926,-0.005
555,45.96109864,-66.62690703,-19.898,-0.006
556,45.96109852,-66.62690707,-19.869,-0.006
557,45.96109844,-66.62690709,-19.846,-0.002
558,45.96109838,-66.62690714,-19.825,0.005
559,45.96109829,-66.62690722,-19.799,0.012
560,45.9610982,-66.62690726,-19.775,0.019
561,45.96109813,-66.62690731,-19.754,0.026
562,45.96109808,-66.62690738,-19.733,0.035
563,45.96109803,-66.62690742,-19.711,0.045
564,45.96109798,-66.62690747,-19.691,0.053
565,45.96109792,-66.6269075,-19.675,0.06
566,45.96109792,-66.62690755,-19.663,0.07
567,45.96109793,-66.6269076,-19.653,0.079
568,45.96109796,-66.62690766,-19.647,0.088
569,45.96109796,-66.62690769,-19.64,0.091
570,45.96109793,-66.62690771,-19.635,0.091
571,45.9610979,-66.62690775,-19.631,0.091
572,45.96109787,-66.62690778,-19.624,0.09
573,45.96109783,-66.62690781,-19.62,0.089
574,45.96109782,-66.62690784,-19.618,0.092
